CCM_ID,고객ID,접촉일자,접촉채널,접촉유형,내용,담당자,처리상태,처리일자,만족도
CCM001,C001,2026-06-01,전화,주문확인,배송 일정 확인,CS팀1,완료,2026-06-01,5
CCM002,C003,2026-06-01,이메일,상품문의,세탁 방법 질문,CS팀2,완료,2026-06-01,4
CCM003,C002,2026-06-02,카톡,반품신청,상품 불량 반품 요청,CS팀1,처리중,2026-06-02,3
CCM004,C005,2026-06-02,전화,배송문제,배송지 변경 요청,CS팀2,완료,2026-06-02,5
CCM005,C007,2026-06-03,이메일,결제확인,영수증 재발송 요청,CS팀1,완료,2026-06-03,4
CCM006,C009,2026-06-03,카톡,교환요청,사이즈 교환 요청,CS팀2,완료,2026-06-03,5
CCM007,C001,2026-06-04,전화,이벤트문의,멤버십 포인트 적립,CS팀1,완료,2026-06-04,5
CCM008,C006,2026-06-04,이메일,상품개선,색상 추가 건의,CS팀2,대기중,미처리,2
CCM009,C003,2026-06-05,카톡,배송추적,배송 조회,CS팀1,완료,2026-06-05,4
CCM010,C008,2026-06-05,전화,구매상담,신상품 추천,CS팀2,완료,2026-06-05,5
