QA_ID,상품ID,검사날짜,검사자,검사항목,검사결과,불량수,합격수,품질점수,조치내용
Q001,P001,2026-06-01,QA담당자1,외관검사,합격,0,150,99.8,없음
Q002,P002,2026-06-01,QA담당자2,기능검사,합격,2,43,97.5,부품 교체
Q003,P003,2026-06-01,QA담당자1,원단검사,합격,1,199,99.5,색상 조정
Q004,P004,2026-06-02,QA담당자2,전기안전검사,부분불량,5,25,89.3,전원부 재검토
Q005,P005,2026-06-02,QA담당자1,포장검사,합격,0,500,100.0,없음
Q006,P007,2026-06-02,QA담당자2,음향검사,합격,3,77,96.3,스피커 점검
Q007,P008,2026-06-03,QA담당자1,내구성검사,합격,2,118,98.3,솔기 보강
Q008,P009,2026-06-03,QA담당자2,성분분석,합격,0,300,100.0,없음
Q009,P010,2026-06-04,QA담당자1,조명검사,합격,1,89,98.9,LED 점검
Q010,P006,2026-06-04,QA담당자2,구조강도,불합격,15,0,0.0,전량 폐기
