심의ID,상품ID,신청날짜,심의자,심의날짜,심의결과,지적사항,승인날짜
R001,P001,2026-01-10,심의팀장1,2026-01-12,승인,없음,2026-01-12
R002,P002,2026-01-18,심의팀장2,2026-01-20,조건부승인,표시사항 수정 필요,2026-01-25
R003,P003,2026-01-28,심의팀장1,2026-02-01,승인,없음,2026-02-01
R004,P004,2026-02-03,심의팀장2,2026-02-05,조건부승인,안전 시험 보완,2026-02-10
R005,P005,2026-02-08,심의팀장1,2026-02-10,승인,없음,2026-02-10
R006,P006,2026-02-13,심의팀장2,2026-02-15,거절,성분 미허가,미승인
R007,P007,2026-02-28,심의팀장1,2026-03-01,승인,없음,2026-03-01
R008,P008,2026-03-03,심의팀장2,2026-03-05,승인,없음,2026-03-05
R009,P009,2026-03-08,심의팀장1,2026-03-10,조건부승인,GMP 인증 필요,2026-03-15
R010,P010,2026-03-13,심의팀장2,2026-03-15,승인,없음,2026-03-15
