판매ID,주문번호,고객ID,상품ID,방송ID,주문날짜,주문수량,단가,판매액,결제방법,배송상태,반품여부
S001,ORD20260601001,C001,P001,B001,2026-06-01,2,89000,178000,카드,배송완료,N
S002,ORD20260601002,C003,P002,B002,2026-06-01,1,249000,249000,계좌이체,배송중,N
S003,ORD20260602001,C002,P003,B003,2026-06-02,3,79000,237000,카드,배송완료,Y
S004,ORD20260602002,C005,P004,B004,2026-06-02,1,399000,399000,카드,배송완료,N
S005,ORD20260603001,C007,P005,B005,2026-06-03,2,45000,90000,카드,배송완료,N
S006,ORD20260603002,C009,P007,B006,2026-06-03,1,199000,199000,계좌이체,배송중,N
S007,ORD20260604001,C001,P008,B007,2026-06-04,1,125000,125000,카드,대기중,N
S008,ORD20260604002,C006,P009,B008,2026-06-04,3,65000,195000,카드,배송완료,N
S009,ORD20260605001,C003,P010,B009,2026-06-05,2,89000,178000,카드,배송완료,N
S010,ORD20260605002,C008,P001,B010,2026-06-05,1,89000,89000,포인트,대기중,N
